video_title,index,index_filtered
"DAENERYS FOLLE (ÇA TOURNE MAL), JON À L'HEURE DU CHOIX - ANALYSE EPISODE 4 GAME OF THRONES",169,135
SUNNISME  - GUERRE INTERNE & ORIGINE DU SALAFISME,175,136
LA STRATÉGIE MACRON POUR RÉCUPÉRER L'ÉCOLOGIE (DÉCRYPTAGE),147,139
Intro - Pourquoi parler d'islam ?,192,142
REFORME DU BAC - MON OPINION D'EX-PROF,145,144
"Le ""BLESSÉ DE TOLBIAC"" - FAKE NEWS, COMMENT ÇA MARCHE ?",161,145
JE SUIS ORELSAN,151,146
COMMENT SURVIVRE AU CHAOS POLITIQUE ? - CONFERENCE TATIANA VENTÔSE (avril 2019),185,147
Pourquoi les Jeux Olympiques à Paris c'est de la merde,171,149
COMBIEN JE GAGNE & AUTRES QUESTIONS - FAQ du Bout du Monde (de France),176,152
AVEC LES GILETS JAUNES  - & LES MÉDIAS - à ORLY,160,154
VIVRE AVANT LA NUIT - Game of Thrones S8 E02 - DRACARYS DEBRIEF,195,157
"Et toi, tu t'es déjà dopé pour aller bosser ?",186,158
⚡️ÉNERGIE ☢️ ON REFAIT LA FRANCE AVEC MAXIME AMBLARD💡,170,159
SUNNITES VS CHIITES,199,160
Sept scandales que Monsanto aimerait qu'on oublie,173,164
Ces gens qui lâchent des boulots de merde pour trouver du sens à ce qu'ils font,194,166
Pourquoi tu sauveras pas la planète en mangeant du tofu (ce que je pense de l'écologie),178,172
Requiem pour un Johnny,180,174
HASARD ! Le gars qui a tiré sur Trump dans une vidéo de… BlackRock ?! 🤔,187,175
Opération Sentinelle à bout - qui défend nos défenseurs ?,189,178
100 000 ! UN LIVRE ! LA SUITE !,184,180
Hystérie collective autour de Donald Trump - Mise au point,191,185
C'est quoi le 'blème avec Deliveroo ?,208,188
Dracarys - Pourquoi Ned Stark est un imbécile ?,196,190
Généraliste : les prix vont flamber :/,207,191
"Médias, moralisation écolo, ce que j'en pense, & pourquoi ma chaîne - #FAQ de l'Avent 3/4",206,192
COMMENT S'UNIR QUAND TOUT POUSSE À SE HAÏR ? #GOT S8E01 - DRACARYS DÉBRIEF,213,194
Je lance un TIPEEE !,215,196
Un seul mot d’ordre : dégager la macronie (nouveau fil d’actu en ligne),212,200
"Réponse aux extrémistes - Seul un Sith raisonne dans l'absolu - Un peu d'amour, que diable !",204,201
"Las Vegas, Daesh & les médias : doit-on s'habituer au terrorisme ?",221,202
Ce que les abattoirs disent de notre société,222,209
GOT Politique - Bonnes et Mauvaises Décisions - #DRACARYS,220,211
Le grand mensonge de ce dernier demi-siècle : « nous n’avons pas besoin de production ».,216,215
François Fillon sert-il à quelque chose ?,223,218
Le Plan Foireux - Game of Thrones 7x05 - Dracarys le Débrief Politique,227,221
TRAHISON & COLLABORATION - LES DIRIGEANTS ONT SABORDÉ LA FRANCE POUR LA FINANCE,226,222
"Pierre-Guillaume Mercadal, l’éleveur de cochons laineux qui a vécu l’enfer, raconte son histoire.",239,223
Crise Politique à Westeros - Dracarys Ep. 2,232,225
"GOT Débrief Politique 7X3 - Cersei, la Banque de Fer et les retournements de situation - DRACARYS",234,227
La politique est dynamique - Le Chant du Cygne de Littlefinger ? Game of Thrones S7 Ep. 3-4,236,231
Pourquoi Daenerys est une Gagnante (1/2) - #DRACARYS épisode 03,238,235
Evénement 1-2-3 juin et update sur ma chaîne,240,236
Daenerys va-t-elle rejoindre le côté obscur ? GAME OF THRONES S7E02 Le Débrief Politique DRACARYS,241,240
